-------------------
------3------1--
--1---2---2--3-----
----2---1---2----
--3--1----2-------
-----4-----4--------
----2---3-1-------
-------------------
-------------------

0.073 0.038|0.063 0.035|

0.15 0.035|0.14 0.035|

0.024 0.053|0.02 0.061|0.029 0.061|

0.06 0.055|0.053 0.055|

0.097 0.053|0.1 0.053|0.086 0.055|

0.12 0.055|0.13 0.056|0.12 0.055|

0.049 0.073|0.04 0.072|0.046 0.064|

0.088 0.072|0.094 0.072|0.08 0.069|

0.13 0.074|0.13 0.073|0.12 0.07|

0.027 0.091|0.033 0.096|0.02 0.099|

0.056 0.094|0.062 0.1|0.046 0.098|

0.1 0.091|0.092 0.091|0.11 0.091|

0.1 0.11|0.11 0.11|0.096 0.11|

0.049 0.11|0.056 0.11|0.043 0.11|

0.045 0.13|0.038 0.13|0.032 0.13|

